days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,16,1,1,1,0
3,15,2,1,1,0
4,14,3,1,1,0
5,14,3,1,1,0
6,14,3,1,1,0
7,14,2,2,1,0
8,14,0,3,1,1
9,14,0,3,1,1
10,12,2,3,1,1
11,12,2,3,1,1
12,11,3,3,1,1
13,11,3,3,1,1
14,11,3,2,0,3
15,10,4,1,0,4
16,10,4,1,0,4
17,10,2,0,2,5
18,10,1,0,3,5
19,10,1,0,3,5
20,10,1,0,3,5
21,10,1,0,3,5
22,10,0,0,4,5
23,10,0,0,3,6
24,9,1,0,3,6
25,9,1,0,3,6
26,8,2,0,3,6
27,8,2,0,2,7
28,8,2,0,1,8
29,8,1,0,2,8
30,8,1,0,2,8
31,8,1,0,2,8
32,8,1,0,2,8
33,8,0,1,1,9
34,8,0,1,1,9
35,8,0,1,1,9
36,8,0,1,1,9
37,8,0,1,0,10
38,8,0,1,0,10
39,7,1,1,0,10
40,7,1,1,0,10
41,7,1,1,0,10
42,7,0,1,1,10
43,7,0,1,1,10
44,7,0,1,1,10
