days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,18,0,0,1,0
3,17,1,0,1,0
4,17,1,0,1,0
5,16,2,0,1,0
6,16,2,0,1,0
7,16,2,0,1,0
8,16,2,0,0,1
9,16,2,0,0,1
10,16,1,0,1,1
11,16,1,0,1,1
12,16,1,0,1,1
13,16,1,0,1,1
14,16,0,0,2,1
15,16,0,0,2,1
16,16,0,0,2,1
17,15,1,0,2,1
18,15,1,0,2,1
19,15,1,0,1,2
20,15,1,0,1,2
21,15,1,0,1,2
22,15,1,0,1,2
23,14,2,0,1,2
24,14,2,0,0,3
25,14,0,1,1,3
26,13,1,1,1,3
27,13,1,1,1,3
28,13,1,1,1,3
29,12,1,2,1,3
30,12,1,2,1,3
31,11,2,2,1,3
32,11,2,2,1,3
33,11,2,2,1,3
34,10,3,2,1,3
35,10,3,2,1,3
36,10,2,3,0,4
37,9,3,3,0,4
38,9,2,2,1,5
39,9,2,1,1,6
40,9,2,1,1,6
41,9,2,1,1,6
42,8,2,2,1,6
43,8,2,2,1,6
44,7,2,2,2,6
