days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,16,2,0,1,0
3,15,3,0,1,0
4,15,3,0,1,0
5,15,3,0,1,0
6,15,3,0,1,0
7,15,3,0,1,0
8,15,2,0,1,1
9,15,2,0,1,1
10,15,1,1,1,1
11,15,0,1,2,1
12,14,1,1,2,1
13,13,2,1,2,1
14,12,3,1,2,1
15,11,3,2,2,1
16,9,5,2,2,1
17,6,6,3,3,1
18,5,5,3,5,1
19,5,5,2,4,3
20,3,6,3,4,3
21,3,3,5,5,3
22,3,3,5,4,4
23,3,2,6,3,5
24,3,2,5,3,6
25,1,3,4,4,7
26,1,2,5,4,7
27,1,2,5,4,7
28,1,2,5,4,7
29,1,2,4,3,9
30,1,1,4,3,10
31,1,1,4,2,11
32,1,0,2,2,14
33,0,1,2,2,14
34,0,1,2,2,14
35,0,1,2,2,14
36,0,1,2,1,15
37,0,1,1,1,16
38,0,1,1,1,16
39,0,1,1,1,16
40,0,1,1,1,16
41,0,1,1,1,16
42,0,1,1,0,17
43,0,0,2,0,17
44,0,0,2,0,17
