days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,14,4,0,1,0
3,14,4,0,1,0
4,14,3,1,1,0
5,13,4,1,1,0
6,12,5,1,1,0
7,10,6,1,2,0
8,10,4,3,1,1
9,8,6,3,1,1
10,7,5,3,3,1
11,5,6,3,4,1
12,5,5,3,5,1
13,4,3,5,6,1
14,3,3,5,7,1
15,3,1,5,8,2
16,1,3,5,7,3
17,1,2,5,6,5
18,1,2,5,6,5
19,1,2,5,6,5
20,1,1,4,6,7
21,1,1,4,5,8
22,1,1,4,4,9
23,1,1,4,3,10
24,1,1,4,2,11
25,0,2,2,2,13
26,0,1,1,2,15
27,0,1,1,1,16
28,0,1,1,1,16
29,0,1,1,1,16
30,0,1,1,1,16
31,0,1,1,1,16
32,0,0,2,0,17
33,0,0,2,0,17
34,0,0,1,0,18
