days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,17,1,0,1,0
3,16,2,0,1,0
4,15,3,0,1,0
5,14,4,0,1,0
6,11,6,0,2,0
7,9,8,0,2,0
8,8,7,0,3,1
9,8,7,0,3,1
10,7,6,0,5,1
11,7,5,1,5,1
12,7,2,1,6,3
13,6,3,1,6,3
14,5,4,1,6,3
15,4,3,0,8,4
16,4,3,0,7,5
17,2,3,0,9,5
18,2,3,0,8,6
19,2,3,0,8,6
20,2,3,0,7,7
21,2,2,0,7,8
22,1,3,0,5,10
23,1,1,1,6,10
24,1,1,1,6,10
25,1,1,1,6,10
26,1,1,1,5,11
27,1,1,1,5,11
28,1,0,1,6,11
29,1,0,1,6,11
30,1,0,1,5,12
31,1,0,1,5,12
32,1,0,1,4,13
33,1,0,1,2,15
34,1,0,1,2,15
35,1,0,0,2,16
36,1,0,0,1,17
37,1,0,0,1,17
38,1,0,0,0,18
39,1,0,0,0,18
40,1,0,0,0,18
41,1,0,0,0,18
42,1,0,0,0,18
43,1,0,0,0,18
44,1,0,0,0,18
