days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,14,4,0,1,0
2,12,6,0,1,0
3,11,6,0,2,0
4,8,7,1,3,0
5,8,6,2,3,0
6,5,8,2,4,0
7,4,9,2,4,0
8,4,6,3,5,1
9,3,4,4,7,1
10,3,3,5,7,1
11,3,3,5,7,1
12,3,3,5,6,2
13,1,3,6,6,3
14,1,2,7,6,3
15,1,2,7,6,3
16,1,2,6,4,6
17,1,1,6,5,6
18,1,1,5,5,7
19,1,0,4,5,9
20,1,0,4,5,9
21,1,0,4,4,10
22,1,0,2,3,13
23,1,0,0,3,15
24,1,0,0,2,16
25,1,0,0,2,16
26,1,0,0,2,16
27,1,0,0,1,17
28,1,0,0,1,17
29,1,0,0,1,17
30,1,0,0,1,17
31,1,0,0,1,17
32,1,0,0,0,18
33,1,0,0,0,18
34,1,0,0,0,18
