days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,17,1,0,0,1
3,17,1,0,0,1
4,17,1,0,0,1
5,17,1,0,0,1
6,17,1,0,0,1
7,17,1,0,0,1
8,14,3,0,1,1
9,14,3,0,1,1
10,13,4,0,1,1
11,12,5,0,1,1
12,12,5,0,1,1
13,12,4,0,1,2
14,11,4,0,2,2
15,9,4,1,3,2
16,6,7,1,3,2
17,6,7,1,3,2
18,3,8,1,1,6
19,3,8,1,1,6
20,2,8,1,2,6
21,2,4,2,5,6
22,2,2,3,6,6
23,2,1,1,0,15
24,2,1,1,0,15
25,2,1,1,0,15
26,2,0,2,0,15
27,2,0,2,0,15
28,2,0,0,0,17
29,2,0,0,0,17
30,2,0,0,0,17
31,2,0,0,0,17
32,2,0,0,0,17
33,2,0,0,0,17
34,2,0,0,0,17
