days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,16,2,0,1,0
3,14,4,0,1,0
4,12,5,0,2,0
5,10,7,0,2,0
6,9,7,0,3,0
7,8,6,1,3,1
8,7,7,1,2,2
9,5,7,1,4,2
10,5,7,1,4,2
11,4,6,1,6,2
12,3,5,3,6,2
13,2,6,3,6,2
14,2,6,3,6,2
15,2,5,3,6,3
16,1,4,3,8,3
17,1,3,2,9,4
18,1,2,2,9,5
19,0,1,3,10,5
20,0,1,2,10,6
21,0,1,2,10,6
22,0,1,1,10,7
23,0,1,1,8,9
24,0,1,1,7,10
25,0,1,1,4,13
26,0,0,2,4,13
27,0,0,2,3,14
28,0,0,2,2,15
29,0,0,2,2,15
30,0,0,2,2,15
31,0,0,2,1,16
32,0,0,1,1,17
33,0,0,1,1,17
34,0,0,1,0,18
