days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,15,3,0,1,0
3,15,3,0,1,0
4,14,3,0,2,0
5,12,4,1,2,0
6,11,5,1,2,0
7,11,5,1,2,0
8,11,3,2,2,1
9,8,5,2,3,1
10,8,4,2,4,1
11,7,4,2,4,2
12,5,3,5,4,2
13,4,4,5,3,3
14,3,4,5,4,3
15,3,4,5,4,3
16,0,7,4,4,4
17,0,5,3,6,5
18,0,4,4,6,5
19,0,3,4,5,7
20,0,2,4,6,7
21,0,2,3,6,8
22,0,1,2,6,10
23,0,1,2,4,12
24,0,0,2,4,13
25,0,0,2,4,13
26,0,0,2,4,13
27,0,0,2,4,13
28,0,0,2,2,15
29,0,0,2,2,15
30,0,0,1,2,16
31,0,0,1,1,17
32,0,0,1,1,17
33,0,0,1,1,17
34,0,0,1,1,17
35,0,0,1,1,17
36,0,0,0,1,18
37,0,0,0,0,19
38,0,0,0,0,19
39,0,0,0,0,19
40,0,0,0,0,19
41,0,0,0,0,19
42,0,0,0,0,19
43,0,0,0,0,19
44,0,0,0,0,19
