days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,15,3,0,1,0
3,12,6,0,1,0
4,9,8,0,2,0
5,5,10,0,4,0
6,3,10,0,6,0
7,3,9,0,7,0
8,3,8,0,7,1
9,3,7,0,8,1
10,3,2,1,12,1
11,2,2,1,13,1
12,1,3,1,13,1
13,1,3,1,12,2
14,0,4,1,11,3
15,0,3,2,10,4
16,0,1,4,8,6
17,0,1,4,7,7
18,0,0,5,6,8
19,0,0,5,4,10
20,0,0,5,4,10
21,0,0,5,4,10
22,0,0,5,2,12
23,0,0,5,1,13
24,0,0,5,0,14
25,0,0,5,0,14
26,0,0,3,0,16
27,0,0,1,0,18
28,0,0,1,0,18
29,0,0,0,0,19
30,0,0,0,0,19
31,0,0,0,0,19
32,0,0,0,0,19
33,0,0,0,0,19
34,0,0,0,0,19
