days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,15,3,0,1,0
3,12,6,0,1,0
4,12,6,0,1,0
5,11,7,0,1,0
6,10,7,0,2,0
7,10,5,1,3,0
8,10,3,1,4,1
9,9,4,1,4,1
10,6,6,1,5,1
11,6,5,1,6,1
12,6,5,1,6,1
13,6,4,2,6,1
14,5,5,2,6,1
15,5,4,3,5,2
16,4,3,3,7,2
17,4,3,3,5,4
18,4,2,3,5,5
19,2,4,3,4,6
20,2,4,3,4,6
21,2,4,3,4,6
22,2,3,2,4,8
23,1,4,2,4,8
24,1,4,1,3,10
25,1,1,2,5,10
26,1,1,2,5,10
27,1,1,1,5,11
28,1,0,2,4,12
29,1,0,2,4,12
30,1,0,2,3,13
31,1,0,2,3,13
32,1,0,2,3,13
33,1,0,2,2,14
34,0,1,2,2,14
35,0,1,1,0,17
36,0,0,1,0,18
37,0,0,1,0,18
38,0,0,1,0,18
39,0,0,1,0,18
40,0,0,1,0,18
41,0,0,1,0,18
42,0,0,1,0,18
43,0,0,1,0,18
44,0,0,1,0,18
