days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,17,1,0,1,0
3,16,2,0,1,0
4,15,3,0,1,0
5,15,3,0,1,0
6,15,3,0,1,0
7,14,3,0,2,0
8,13,3,1,1,1
9,12,4,1,1,1
10,11,4,1,2,1
11,10,5,1,2,1
12,10,5,1,2,1
13,9,4,1,4,1
14,9,4,1,4,1
15,9,4,1,4,1
16,9,4,1,4,1
17,8,4,1,5,1
18,8,2,0,7,2
19,7,3,0,7,2
20,7,3,0,7,2
21,7,3,0,7,2
22,6,2,0,9,2
23,4,3,1,9,2
24,2,5,1,9,2
25,2,5,1,7,4
26,2,3,1,8,5
27,2,2,1,7,7
28,2,0,3,6,8
29,2,0,3,6,8
30,2,0,3,5,9
31,2,0,3,5,9
32,2,0,3,4,10
33,2,0,3,4,10
34,2,0,3,2,12
35,2,0,2,2,13
36,2,0,2,2,13
37,2,0,2,2,13
38,2,0,2,1,14
39,2,0,1,1,15
40,2,0,1,1,15
41,2,0,1,0,16
42,2,0,0,0,17
43,2,0,0,0,17
44,2,0,0,0,17
