days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,16,2,0,0,1
3,16,2,0,0,1
4,16,2,0,0,1
5,16,1,0,1,1
6,16,0,0,1,2
7,16,0,0,0,3
8,16,0,0,0,3
9,16,0,0,0,3
10,16,0,0,0,3
11,16,0,0,0,3
12,16,0,0,0,3
13,16,0,0,0,3
14,16,0,0,0,3
15,16,0,0,0,3
16,16,0,0,0,3
17,16,0,0,0,3
18,16,0,0,0,3
19,16,0,0,0,3
20,16,0,0,0,3
21,16,0,0,0,3
22,16,0,0,0,3
23,16,0,0,0,3
24,16,0,0,0,3
25,16,0,0,0,3
26,16,0,0,0,3
27,16,0,0,0,3
28,16,0,0,0,3
29,16,0,0,0,3
30,16,0,0,0,3
31,16,0,0,0,3
32,16,0,0,0,3
33,16,0,0,0,3
34,16,0,0,0,3
