days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,17,1,0,0,1
3,17,1,0,0,1
4,17,1,0,0,1
5,17,1,0,0,1
6,17,1,0,0,1
7,17,1,0,0,1
8,17,1,0,0,1
9,17,1,0,0,1
10,17,0,1,0,1
11,17,0,0,0,2
12,17,0,0,0,2
13,17,0,0,0,2
14,17,0,0,0,2
15,17,0,0,0,2
16,17,0,0,0,2
17,17,0,0,0,2
18,17,0,0,0,2
19,17,0,0,0,2
20,17,0,0,0,2
21,17,0,0,0,2
22,17,0,0,0,2
23,17,0,0,0,2
24,17,0,0,0,2
25,17,0,0,0,2
26,17,0,0,0,2
27,17,0,0,0,2
28,17,0,0,0,2
29,17,0,0,0,2
30,17,0,0,0,2
31,17,0,0,0,2
32,17,0,0,0,2
33,17,0,0,0,2
34,17,0,0,0,2
