days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,13,5,0,1,0
3,11,7,0,1,0
4,11,6,0,2,0
5,9,6,1,3,0
6,8,7,1,3,0
7,6,9,1,3,0
8,5,8,1,4,1
9,5,7,1,4,2
10,5,5,1,6,2
11,4,5,1,7,2
12,4,4,1,7,3
13,2,4,2,8,3
14,2,3,2,9,3
15,2,3,2,9,3
16,2,2,2,8,5
17,1,3,1,7,7
18,1,2,2,7,7
19,1,2,2,7,7
20,1,2,2,5,9
21,1,2,2,4,10
22,1,1,2,3,12
23,1,0,3,3,12
24,1,0,3,3,12
25,1,0,3,2,13
26,1,0,3,2,13
27,1,0,2,2,14
28,1,0,2,2,14
29,1,0,2,2,14
30,1,0,2,2,14
31,1,0,1,2,15
32,0,1,1,2,15
33,0,0,2,1,16
34,0,0,2,1,16
