days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,17,1,0,1,0
3,16,2,0,1,0
4,15,3,0,1,0
5,15,2,1,1,0
6,13,3,1,2,0
7,13,3,1,2,0
8,12,3,1,2,1
9,11,3,1,3,1
10,8,6,0,3,2
11,8,6,0,3,2
12,8,6,0,3,2
13,7,5,0,5,2
14,6,5,0,6,2
15,5,4,0,8,2
16,5,3,1,8,2
17,4,3,1,9,2
18,4,2,1,9,3
19,4,2,1,9,3
20,4,1,2,6,6
21,4,1,2,6,6
22,3,2,2,6,6
23,3,2,2,6,6
24,3,1,2,6,7
25,3,0,3,6,7
26,3,0,3,6,7
27,3,0,3,4,9
28,3,0,3,3,10
29,3,0,3,3,10
30,2,1,3,2,11
31,2,1,2,1,13
32,2,1,1,1,14
33,2,0,2,1,14
34,1,1,2,1,14
35,1,1,2,1,14
36,1,1,1,1,15
37,1,1,1,0,16
38,1,1,1,0,16
39,1,0,1,0,17
40,1,0,1,0,17
41,1,0,1,0,17
42,1,0,1,0,17
43,1,0,1,0,17
44,1,0,1,0,17
