days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,15,3,0,1,0
2,15,3,0,0,1
3,15,2,1,0,1
4,15,2,1,0,1
5,15,2,1,0,1
6,15,2,1,0,1
7,13,3,1,1,1
8,13,3,0,0,3
9,12,3,0,1,3
10,12,3,0,1,3
11,9,5,0,2,3
12,8,6,0,2,3
13,8,6,0,0,5
14,8,4,0,2,5
15,7,3,1,3,5
16,5,4,1,4,5
17,4,5,1,4,5
18,4,4,0,1,10
19,3,5,0,1,10
20,3,5,0,1,10
21,3,3,0,3,10
22,2,3,1,3,10
23,2,3,0,0,14
24,2,2,0,1,14
25,2,2,0,1,14
26,2,0,1,2,14
27,2,0,1,2,14
28,2,0,0,0,17
29,2,0,0,0,17
30,2,0,0,0,17
31,2,0,0,0,17
32,2,0,0,0,17
33,2,0,0,0,17
34,2,0,0,0,17
