days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,17,1,0,1,0
3,14,4,0,1,0
4,12,5,1,1,0
5,8,8,1,2,0
6,6,8,1,4,0
7,5,9,1,4,0
8,5,8,1,4,1
9,5,5,1,7,1
10,4,5,1,8,1
11,1,5,2,10,1
12,0,4,3,11,1
13,0,4,2,11,2
14,0,3,3,10,3
15,0,2,4,9,4
16,0,2,4,9,4
17,0,2,4,9,4
18,0,1,3,9,6
19,0,1,3,7,8
20,0,1,3,6,9
21,0,0,3,6,10
22,0,0,3,2,14
23,0,0,3,2,14
24,0,0,2,1,16
25,0,0,2,1,16
26,0,0,2,1,16
27,0,0,2,1,16
28,0,0,2,0,17
29,0,0,1,0,18
30,0,0,0,0,19
31,0,0,0,0,19
32,0,0,0,0,19
33,0,0,0,0,19
34,0,0,0,0,19
