days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,16,2,0,1,0
3,16,2,0,1,0
4,15,3,0,1,0
5,12,5,0,2,0
6,12,5,0,2,0
7,11,5,0,3,0
8,11,5,0,2,1
9,10,6,0,2,1
10,10,5,1,2,1
11,9,5,2,2,1
12,9,2,2,4,2
13,8,3,2,4,2
14,7,3,2,5,2
15,5,4,3,5,2
16,4,4,3,6,2
17,4,3,2,6,4
18,4,2,3,6,4
19,3,3,3,6,4
20,3,2,2,7,5
21,3,2,1,6,7
22,3,2,1,5,8
23,3,0,1,7,8
24,3,0,1,5,10
25,3,0,1,4,11
26,2,1,1,4,11
27,2,1,1,4,11
28,2,1,1,4,11
29,2,1,0,3,13
30,2,1,0,3,13
31,2,1,0,2,14
32,2,1,0,2,14
33,2,0,1,1,15
34,2,0,1,1,15
35,2,0,1,1,15
36,2,0,1,1,15
37,2,0,1,0,16
38,2,0,1,0,16
39,2,0,1,0,16
40,2,0,0,0,17
41,2,0,0,0,17
42,2,0,0,0,17
43,2,0,0,0,17
44,2,0,0,0,17
