days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,17,1,0,1,0
3,17,1,0,1,0
4,17,1,0,1,0
5,16,2,0,1,0
6,16,2,0,1,0
7,16,2,0,1,0
8,16,1,0,1,1
9,16,1,0,1,1
10,14,2,1,1,1
11,13,3,1,1,1
12,11,5,1,1,1
13,11,4,1,2,1
14,9,5,1,3,1
15,9,4,1,4,1
16,9,4,1,4,1
17,9,4,1,4,1
18,9,3,0,4,3
19,8,3,1,4,3
20,8,3,1,4,3
21,8,1,1,6,3
22,8,1,1,6,3
23,8,0,1,7,3
24,8,0,1,7,3
25,7,1,1,5,5
26,7,1,1,4,6
27,7,1,1,3,7
28,7,1,1,3,7
29,7,1,1,3,7
30,7,1,1,3,7
31,7,0,1,3,8
32,7,0,0,3,9
33,7,0,0,2,10
34,7,0,0,2,10
35,7,0,0,1,11
36,7,0,0,1,11
37,7,0,0,1,11
38,7,0,0,0,12
39,7,0,0,0,12
40,7,0,0,0,12
41,7,0,0,0,12
42,7,0,0,0,12
43,7,0,0,0,12
44,7,0,0,0,12
