days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,15,3,0,1,0
3,11,6,1,1,0
4,6,11,1,1,0
5,6,9,2,2,0
6,5,8,3,3,0
7,3,10,3,3,0
8,2,10,3,3,1
9,1,7,4,6,1
10,0,7,4,7,1
11,0,6,4,8,1
12,0,5,4,8,2
13,0,3,5,7,4
14,0,2,6,7,4
15,0,2,5,6,6
16,0,1,6,5,7
17,0,0,7,5,7
18,0,0,5,5,9
19,0,0,5,4,10
20,0,0,4,4,11
21,0,0,4,2,13
22,0,0,4,2,13
23,0,0,4,1,14
24,0,0,4,1,14
25,0,0,3,0,16
26,0,0,2,0,17
27,0,0,2,0,17
28,0,0,2,0,17
29,0,0,2,0,17
30,0,0,2,0,17
31,0,0,1,0,18
32,0,0,0,0,19
33,0,0,0,0,19
34,0,0,0,0,19
