days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,17,1,0,0,1
3,17,1,0,0,1
4,17,1,0,0,1
5,17,0,0,1,1
6,16,1,0,1,1
7,16,1,0,1,1
8,16,1,0,0,2
9,16,1,0,0,2
10,16,1,0,0,2
11,14,2,0,1,2
12,13,2,1,1,2
13,12,2,0,1,4
14,11,3,0,1,4
15,11,3,0,1,4
16,11,3,0,1,4
17,11,2,1,1,4
18,10,1,1,1,6
19,10,1,1,1,6
20,7,4,1,1,6
21,7,3,2,1,6
22,6,4,2,1,6
23,6,4,0,0,9
24,6,4,0,0,9
25,6,2,0,2,9
26,5,2,1,2,9
27,5,2,1,2,9
28,5,1,0,1,12
29,5,1,0,1,12
30,5,0,1,1,12
31,5,0,1,1,12
32,5,0,1,1,12
33,5,0,0,0,14
34,5,0,0,0,14
