days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,15,3,0,1,0
2,14,4,0,1,0
3,12,6,0,1,0
4,10,7,0,2,0
5,9,7,0,3,0
6,5,9,0,5,0
7,4,8,1,6,0
8,4,8,1,5,1
9,2,7,3,6,1
10,1,4,5,8,1
11,1,4,5,8,1
12,1,3,6,8,1
13,1,3,5,7,3
14,1,2,5,7,4
15,1,1,6,6,5
16,1,0,6,7,5
17,1,0,6,6,6
18,1,0,5,5,8
19,1,0,4,5,9
20,1,0,4,4,10
21,1,0,4,2,12
22,1,0,4,2,12
23,1,0,2,2,14
24,1,0,2,1,15
25,1,0,1,1,16
26,1,0,1,1,16
27,1,0,1,1,16
28,1,0,1,1,16
29,1,0,0,1,17
30,1,0,0,1,17
31,1,0,0,0,18
32,1,0,0,0,18
33,1,0,0,0,18
34,1,0,0,0,18
