days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,18,0,0,1,0
3,18,0,0,1,0
4,16,2,0,1,0
5,16,2,0,1,0
6,16,1,0,2,0
7,16,1,0,2,0
8,15,1,0,2,1
9,14,2,0,2,1
10,13,3,0,2,1
11,12,3,0,3,1
12,11,3,0,4,1
13,10,4,0,4,1
14,8,5,0,4,2
15,6,6,0,5,2
16,6,6,0,5,2
17,6,5,0,6,2
18,5,3,1,7,3
19,4,4,1,7,3
20,4,3,1,8,3
21,3,4,1,7,4
22,3,2,2,7,5
23,3,2,2,7,5
24,3,2,2,7,5
25,3,1,3,7,5
26,3,1,3,4,8
27,3,1,3,3,9
28,3,1,3,2,10
29,3,1,3,2,10
30,3,1,2,1,12
31,3,0,3,1,12
32,3,0,3,1,12
33,3,0,2,1,13
34,3,0,2,1,13
