days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,14,4,0,1,0
3,14,4,0,1,0
4,13,4,0,2,0
5,10,6,1,2,0
6,6,10,1,2,0
7,5,10,2,2,0
8,4,9,2,3,1
9,3,8,3,4,1
10,2,9,3,4,1
11,0,8,5,5,1
12,0,5,6,6,2
13,0,3,6,8,2
14,0,3,6,8,2
15,0,2,6,8,3
16,0,0,6,10,3
17,0,0,6,9,4
18,0,0,6,9,4
19,0,0,5,9,5
20,0,0,5,8,6
21,0,0,3,5,11
22,0,0,2,5,12
23,0,0,0,5,14
24,0,0,0,4,15
25,0,0,0,3,16
26,0,0,0,3,16
27,0,0,0,0,19
28,0,0,0,0,19
29,0,0,0,0,19
30,0,0,0,0,19
31,0,0,0,0,19
32,0,0,0,0,19
33,0,0,0,0,19
34,0,0,0,0,19
