days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,15,3,0,1,0
3,14,4,0,1,0
4,13,5,0,1,0
5,12,5,0,2,0
6,11,5,0,3,0
7,11,4,0,4,0
8,11,2,1,4,1
9,10,2,2,4,1
10,9,3,2,4,1
11,9,3,2,4,1
12,8,4,2,4,1
13,5,6,2,4,2
14,5,5,3,4,2
15,5,4,2,5,3
16,4,4,2,5,4
17,3,4,3,5,4
18,3,4,3,4,5
19,3,3,3,5,5
20,3,2,2,5,7
21,1,3,2,5,8
22,1,3,2,4,9
23,1,3,1,4,10
24,0,3,2,4,10
25,0,3,2,4,10
26,0,1,3,4,11
27,0,0,4,3,12
28,0,0,4,3,12
29,0,0,4,2,13
30,0,0,4,1,14
31,0,0,4,1,14
32,0,0,4,0,15
33,0,0,3,0,16
34,0,0,3,0,16
35,0,0,1,0,18
36,0,0,1,0,18
37,0,0,1,0,18
38,0,0,1,0,18
39,0,0,0,0,19
40,0,0,0,0,19
41,0,0,0,0,19
42,0,0,0,0,19
43,0,0,0,0,19
44,0,0,0,0,19
