days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,17,1,0,1,0
3,15,3,0,1,0
4,15,3,0,1,0
5,15,2,0,2,0
6,14,1,0,4,0
7,11,4,0,4,0
8,11,4,0,3,1
9,10,5,0,3,1
10,10,5,0,3,1
11,8,5,2,3,1
12,7,5,2,4,1
13,7,5,2,4,1
14,7,5,2,4,1
15,7,4,3,3,2
16,7,3,3,3,3
17,6,2,4,3,4
18,5,3,4,2,5
19,4,4,4,2,5
20,4,3,5,2,5
21,4,3,4,2,6
22,3,2,6,2,6
23,1,4,6,2,6
24,1,4,5,2,7
25,1,3,5,3,7
26,1,2,5,4,7
27,1,1,4,5,8
28,1,1,3,4,10
29,1,1,3,4,10
30,1,1,3,3,11
31,1,1,2,3,12
32,1,0,2,3,13
33,1,0,2,3,13
34,1,0,2,3,13
35,1,0,2,2,14
36,1,0,1,2,15
37,1,0,1,2,15
38,1,0,1,1,16
39,1,0,1,0,17
40,1,0,1,0,17
41,1,0,1,0,17
42,1,0,1,0,17
43,1,0,1,0,17
44,1,0,1,0,17
