days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,15,3,0,1,0
3,13,5,0,1,0
4,13,5,0,1,0
5,10,7,0,2,0
6,9,6,2,2,0
7,8,7,2,2,0
8,7,6,3,2,1
9,7,5,3,3,1
10,5,5,4,4,1
11,4,6,4,4,1
12,4,5,3,5,2
13,4,4,3,6,2
14,4,3,3,7,2
15,3,2,4,7,3
16,2,3,4,7,3
17,2,3,4,6,4
18,2,1,4,7,5
19,2,1,4,7,5
20,1,2,4,6,6
21,1,0,5,7,6
22,1,0,5,5,8
23,1,0,5,4,9
24,1,0,5,4,9
25,1,0,4,4,10
26,1,0,4,3,11
27,1,0,2,3,13
28,1,0,2,3,13
29,1,0,0,2,16
30,1,0,0,2,16
31,1,0,0,2,16
32,1,0,0,1,17
33,1,0,0,1,17
34,1,0,0,0,18
