days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,14,4,0,1,0
3,13,5,0,1,0
4,11,6,0,2,0
5,10,6,0,3,0
6,7,8,0,4,0
7,7,6,0,6,0
8,7,6,0,5,1
9,4,8,1,5,1
10,4,7,1,6,1
11,4,5,2,7,1
12,3,3,2,10,1
13,2,3,3,10,1
14,1,4,3,10,1
15,1,4,3,10,1
16,1,4,3,8,3
17,1,3,3,9,3
18,1,2,3,7,6
19,1,2,3,6,7
20,1,1,3,5,9
21,1,1,2,5,10
22,0,1,3,5,10
23,0,1,3,5,10
24,0,0,4,3,12
25,0,0,3,2,14
26,0,0,3,1,15
27,0,0,3,1,15
28,0,0,2,0,17
29,0,0,2,0,17
30,0,0,2,0,17
31,0,0,2,0,17
32,0,0,2,0,17
33,0,0,2,0,17
34,0,0,0,0,19
