days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,16,1,0,2,0
3,15,2,0,2,0
4,12,5,0,2,0
5,12,5,0,2,0
6,12,5,0,2,0
7,11,6,0,2,0
8,11,4,0,3,1
9,9,4,0,5,1
10,8,4,0,6,1
11,7,5,0,6,1
12,5,6,1,6,1
13,4,6,1,7,1
14,4,4,1,9,1
15,1,6,2,9,1
16,1,5,3,9,1
17,1,5,3,8,2
18,0,4,5,4,6
19,0,3,5,5,6
20,0,3,5,5,6
21,0,3,3,4,9
22,0,2,4,4,9
23,0,2,4,4,9
24,0,1,4,5,9
25,0,0,4,5,10
26,0,0,3,4,12
27,0,0,3,4,12
28,0,0,3,4,12
29,0,0,3,2,14
30,0,0,1,2,16
31,0,0,1,2,16
32,0,0,1,2,16
33,0,0,1,2,16
34,0,0,0,2,17
35,0,0,0,1,18
36,0,0,0,0,19
37,0,0,0,0,19
38,0,0,0,0,19
39,0,0,0,0,19
40,0,0,0,0,19
41,0,0,0,0,19
42,0,0,0,0,19
43,0,0,0,0,19
44,0,0,0,0,19
