days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,15,3,0,1,0
2,14,4,0,1,0
3,13,5,0,1,0
4,11,6,1,1,0
5,10,6,1,2,0
6,8,8,1,2,0
7,7,8,1,3,0
8,6,5,2,5,1
9,5,5,2,6,1
10,5,3,1,8,2
11,3,5,1,8,2
12,3,4,2,8,2
13,3,4,2,7,3
14,3,3,2,8,3
15,3,2,1,9,4
16,2,2,2,9,4
17,2,2,2,9,4
18,1,3,2,9,4
19,1,3,2,6,7
20,0,2,3,7,7
21,0,2,2,5,10
22,0,1,2,4,12
23,0,1,2,3,13
24,0,1,2,3,13
25,0,0,2,3,14
26,0,0,2,2,15
27,0,0,1,2,16
28,0,0,1,2,16
29,0,0,1,2,16
30,0,0,1,2,16
31,0,0,1,2,16
32,0,0,1,1,17
33,0,0,0,1,18
34,0,0,0,0,19
