days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,18,0,0,1,0
3,17,1,0,1,0
4,16,2,0,1,0
5,16,2,0,1,0
6,16,2,0,1,0
7,16,2,0,1,0
8,16,2,0,0,1
9,16,2,0,0,1
10,16,1,0,1,1
11,16,0,1,1,1
12,16,0,1,1,1
13,14,2,1,1,1
14,14,2,1,1,1
15,14,2,1,1,1
16,14,1,2,1,1
17,12,3,2,1,1
18,11,3,2,1,2
19,10,4,2,1,2
20,9,4,3,1,2
21,9,3,2,2,3
22,5,7,2,2,3
23,5,7,2,2,3
24,5,4,2,5,3
25,4,3,2,7,3
26,3,4,2,7,3
27,3,4,1,7,4
28,3,2,2,7,5
29,3,2,2,7,5
30,3,1,2,7,6
31,3,0,2,6,8
32,3,0,2,6,8
33,2,1,2,6,8
34,2,1,1,6,9
35,2,1,1,4,11
36,2,0,2,3,12
37,2,0,2,2,13
38,1,1,2,2,13
39,1,1,2,2,13
40,1,1,2,2,13
41,1,0,3,2,13
42,1,0,3,0,15
43,1,0,2,0,16
44,1,0,2,0,16
