days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,14,4,0,1,0
2,14,4,0,1,0
3,10,8,0,1,0
4,9,7,0,3,0
5,5,10,1,3,0
6,2,10,1,6,0
7,1,9,2,7,0
8,1,6,3,7,2
9,1,5,3,8,2
10,1,3,4,9,2
11,1,3,4,8,3
12,1,3,3,8,4
13,1,1,3,10,4
14,1,1,3,9,5
15,1,0,3,9,6
16,1,0,2,9,7
17,1,0,2,8,8
18,1,0,2,7,9
19,1,0,2,6,10
20,1,0,2,4,12
21,1,0,0,4,14
22,1,0,0,3,15
23,1,0,0,3,15
24,1,0,0,3,15
25,1,0,0,3,15
26,1,0,0,2,16
27,1,0,0,1,17
28,1,0,0,0,18
29,1,0,0,0,18
30,1,0,0,0,18
31,1,0,0,0,18
32,1,0,0,0,18
33,1,0,0,0,18
34,1,0,0,0,18
