days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,17,1,0,1,0
3,16,2,0,1,0
4,15,3,0,1,0
5,15,2,1,1,0
6,15,1,2,1,0
7,14,2,2,1,0
8,13,3,2,0,1
9,8,7,2,1,1
10,6,8,2,2,1
11,5,8,2,3,1
12,5,8,2,3,1
13,5,4,4,4,2
14,5,2,3,6,3
15,5,1,3,7,3
16,5,1,2,7,4
17,4,1,2,8,4
18,3,2,2,8,4
19,3,1,3,8,4
20,3,1,3,8,4
21,3,1,3,7,5
22,1,2,4,6,6
23,1,2,4,6,6
24,1,2,2,5,9
25,1,2,2,4,10
26,1,1,2,5,10
27,1,1,2,5,10
28,1,0,2,5,11
29,1,0,2,3,13
30,1,0,2,3,13
31,1,0,2,3,13
32,1,0,2,2,14
33,1,0,0,2,16
34,1,0,0,2,16
35,1,0,0,2,16
36,1,0,0,1,17
37,1,0,0,1,17
38,1,0,0,1,17
39,1,0,0,0,18
40,1,0,0,0,18
41,1,0,0,0,18
42,1,0,0,0,18
43,1,0,0,0,18
44,1,0,0,0,18
