days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,15,3,0,1,0
3,14,4,0,1,0
4,13,5,0,1,0
5,12,5,1,1,0
6,12,5,1,1,0
7,10,6,2,1,0
8,10,5,2,1,1
9,8,3,4,3,1
10,6,4,4,4,1
11,4,5,4,5,1
12,3,6,4,5,1
13,2,6,4,6,1
14,2,5,4,7,1
15,1,5,5,7,1
16,1,4,4,8,2
17,0,4,5,7,3
18,0,3,6,7,3
19,0,3,4,6,6
20,0,1,5,6,7
21,0,1,5,6,7
22,0,1,4,5,9
23,0,0,5,5,9
24,0,0,4,4,11
25,0,0,4,3,12
26,0,0,4,2,13
27,0,0,4,2,13
28,0,0,3,1,15
29,0,0,2,1,16
30,0,0,2,1,16
31,0,0,2,1,16
32,0,0,1,1,17
33,0,0,1,0,18
34,0,0,0,0,19
