days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,15,3,0,1,0
2,15,3,0,0,1
3,14,3,1,0,1
4,13,3,0,1,2
5,13,3,0,0,3
6,12,2,0,2,3
7,12,2,0,0,5
8,12,2,0,0,5
9,11,2,0,1,5
10,11,1,0,1,6
11,11,1,0,0,7
12,11,1,0,0,7
13,10,1,0,1,7
14,10,1,0,0,8
15,10,0,1,0,8
16,10,0,0,0,9
17,10,0,0,0,9
18,10,0,0,0,9
19,10,0,0,0,9
20,10,0,0,0,9
21,10,0,0,0,9
22,10,0,0,0,9
23,10,0,0,0,9
24,10,0,0,0,9
25,10,0,0,0,9
26,10,0,0,0,9
27,10,0,0,0,9
28,10,0,0,0,9
29,10,0,0,0,9
30,10,0,0,0,9
31,10,0,0,0,9
32,10,0,0,0,9
33,10,0,0,0,9
34,10,0,0,0,9
