days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,15,3,0,1,0
3,15,3,0,1,0
4,15,2,0,2,0
5,15,2,0,2,0
6,15,2,0,2,0
7,15,2,0,2,0
8,15,1,0,2,1
9,15,1,0,2,1
10,15,1,0,2,1
11,14,1,0,3,1
12,12,3,0,3,1
13,12,3,0,3,1
14,11,4,0,1,3
15,10,5,0,1,3
16,10,4,0,2,3
17,10,4,0,2,3
18,10,1,1,4,3
19,10,0,1,5,3
20,10,0,1,5,3
21,9,1,1,4,4
22,9,1,1,4,4
23,9,0,2,4,4
24,9,0,2,4,4
25,9,0,2,4,4
26,7,2,2,4,4
27,6,3,2,3,5
28,6,3,2,2,6
29,6,3,2,1,7
30,6,3,2,1,7
31,6,1,2,3,7
32,6,1,2,3,7
33,6,1,1,3,8
34,6,0,1,2,10
35,6,0,1,2,10
36,6,0,1,2,10
37,6,0,1,2,10
38,6,0,1,2,10
39,6,0,1,2,10
40,6,0,1,2,10
41,6,0,1,2,10
42,6,0,1,2,10
43,6,0,1,1,11
44,6,0,1,0,12
