days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,17,1,0,1,0
3,17,1,0,1,0
4,16,2,0,1,0
5,16,2,0,1,0
6,15,1,1,2,0
7,15,1,1,2,0
8,13,3,1,1,1
9,12,4,1,1,1
10,11,5,1,1,1
11,10,5,2,1,1
12,9,5,3,1,1
13,8,5,4,1,1
14,7,4,5,2,1
15,5,4,5,3,2
16,3,6,5,3,2
17,2,6,5,4,2
18,2,5,5,5,2
19,2,5,5,4,3
20,1,4,5,6,3
21,1,3,6,6,3
22,1,0,4,9,5
23,1,0,3,7,8
24,1,0,2,7,9
25,1,0,2,7,9
26,1,0,2,7,9
27,1,0,2,7,9
28,0,1,1,6,11
29,0,1,1,5,12
30,0,1,0,5,13
31,0,1,0,3,15
32,0,1,0,3,15
33,0,1,0,2,16
34,0,1,0,0,18
35,0,1,0,0,18
36,0,0,1,0,18
37,0,0,1,0,18
38,0,0,1,0,18
39,0,0,1,0,18
40,0,0,1,0,18
41,0,0,1,0,18
42,0,0,1,0,18
43,0,0,1,0,18
44,0,0,1,0,18
