days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,16,2,0,1,0
3,14,4,0,1,0
4,13,5,0,1,0
5,12,5,0,2,0
6,9,7,0,3,0
7,7,8,0,4,0
8,6,9,0,3,1
9,5,7,0,6,1
10,5,5,0,8,1
11,3,5,0,10,1
12,2,6,0,10,1
13,1,7,0,10,1
14,1,5,0,11,2
15,1,3,1,12,2
16,1,2,2,9,5
17,1,1,2,10,5
18,1,0,3,10,5
19,1,0,3,9,6
20,1,0,3,7,8
21,1,0,3,5,10
22,1,0,3,4,11
23,1,0,1,4,13
24,1,0,1,3,14
25,0,1,1,3,14
26,0,1,1,1,16
27,0,1,1,1,16
28,0,1,1,1,16
29,0,1,0,0,18
30,0,0,1,0,18
31,0,0,1,0,18
32,0,0,1,0,18
33,0,0,1,0,18
34,0,0,1,0,18
35,0,0,1,0,18
36,0,0,1,0,18
37,0,0,1,0,18
38,0,0,0,0,19
39,0,0,0,0,19
40,0,0,0,0,19
41,0,0,0,0,19
42,0,0,0,0,19
43,0,0,0,0,19
44,0,0,0,0,19
