days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,15,3,0,1,0
2,15,3,0,0,1
3,15,3,0,0,1
4,15,2,0,1,1
5,15,1,0,2,1
6,15,1,0,2,1
7,12,4,0,2,1
8,12,4,0,0,3
9,12,3,0,1,3
10,11,2,1,2,3
11,8,4,1,3,3
12,7,5,1,3,3
13,6,4,1,1,7
14,6,4,1,1,7
15,5,4,1,2,7
16,5,4,1,2,7
17,4,5,1,2,7
18,4,3,0,2,10
19,4,1,0,4,10
20,4,0,1,4,10
21,4,0,1,4,10
22,4,0,1,4,10
23,4,0,0,0,15
24,4,0,0,0,15
25,4,0,0,0,15
26,4,0,0,0,15
27,4,0,0,0,15
28,4,0,0,0,15
29,4,0,0,0,15
30,4,0,0,0,15
31,4,0,0,0,15
32,4,0,0,0,15
33,4,0,0,0,15
34,4,0,0,0,15
