days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,18,0,0,1,0
3,18,0,0,1,0
4,17,1,0,1,0
5,17,1,0,1,0
6,17,1,0,1,0
7,17,1,0,1,0
8,17,1,0,0,1
9,17,1,0,0,1
10,17,1,0,0,1
11,17,1,0,0,1
12,17,1,0,0,1
13,17,0,0,1,1
14,16,1,0,1,1
15,16,1,0,1,1
16,15,2,0,1,1
17,15,2,0,1,1
18,15,2,0,1,1
19,15,1,0,2,1
20,15,1,0,1,2
21,15,0,0,2,2
22,15,0,0,2,2
23,14,1,0,2,2
24,13,2,0,2,2
25,10,4,1,2,2
26,10,4,1,2,2
27,9,5,1,1,3
28,9,4,1,2,3
29,7,4,2,3,3
30,7,3,2,4,3
31,5,5,2,4,3
32,4,5,2,5,3
33,2,6,2,6,3
34,2,4,3,7,3
35,1,4,4,6,4
36,1,4,4,6,4
37,1,4,2,5,7
38,1,3,3,5,7
39,1,2,3,5,8
40,1,1,4,5,8
41,1,0,5,5,8
42,1,0,5,5,8
43,1,0,4,3,11
44,1,0,4,3,11
