days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,14,4,0,1,0
3,14,4,0,1,0
4,14,3,0,2,0
5,12,5,0,2,0
6,12,4,0,3,0
7,12,3,1,3,0
8,8,7,1,2,1
9,7,7,1,3,1
10,7,5,2,4,1
11,7,4,3,4,1
12,7,3,3,5,1
13,5,4,3,5,2
14,4,5,3,5,2
15,4,3,4,6,2
16,4,2,4,7,2
17,4,2,4,6,3
18,3,2,3,7,4
19,3,1,2,7,6
20,2,1,2,7,7
21,2,1,2,7,7
22,2,1,2,7,7
23,2,1,2,7,7
24,2,1,0,5,11
25,2,1,0,3,13
26,2,1,0,3,13
27,2,1,0,3,13
28,2,1,0,2,14
29,2,1,0,1,15
30,2,0,1,0,16
31,2,0,1,0,16
32,2,0,1,0,16
33,2,0,1,0,16
34,2,0,1,0,16
35,2,0,1,0,16
36,2,0,1,0,16
37,2,0,1,0,16
38,2,0,1,0,16
39,2,0,1,0,16
