days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,18,0,0,1,0
3,18,0,0,1,0
4,14,4,0,1,0
5,14,4,0,1,0
6,13,5,0,1,0
7,12,6,0,1,0
8,12,4,0,2,1
9,8,6,0,4,1
10,7,6,1,4,1
11,6,6,1,5,1
12,3,7,1,7,1
13,2,8,1,7,1
14,2,6,3,7,1
15,2,3,4,9,1
16,2,3,4,9,1
17,2,2,5,7,3
18,2,2,5,7,3
19,2,2,5,6,4
20,2,1,5,5,6
21,2,0,5,6,6
22,2,0,5,4,8
23,2,0,4,4,9
24,2,0,2,4,11
25,2,0,2,3,12
26,2,0,1,1,15
27,2,0,1,0,16
28,2,0,1,0,16
29,2,0,0,0,17
30,2,0,0,0,17
31,2,0,0,0,17
32,2,0,0,0,17
33,2,0,0,0,17
34,2,0,0,0,17
35,2,0,0,0,17
36,2,0,0,0,17
37,2,0,0,0,17
38,2,0,0,0,17
39,2,0,0,0,17
40,2,0,0,0,17
41,2,0,0,0,17
42,2,0,0,0,17
43,2,0,0,0,17
44,2,0,0,0,17
