days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,17,1,0,1,0
3,16,2,0,1,0
4,16,2,0,1,0
5,16,2,0,1,0
6,16,2,0,1,0
7,15,3,0,1,0
8,15,2,0,1,1
9,15,2,0,1,1
10,15,2,0,1,1
11,13,3,1,1,1
12,11,4,1,2,1
13,11,2,2,3,1
14,10,3,2,3,1
15,9,3,2,4,1
16,9,3,2,4,1
17,8,2,2,5,2
18,7,3,2,5,2
19,7,3,2,4,3
20,6,3,1,5,4
21,5,3,1,6,4
22,5,2,1,7,4
23,5,1,2,7,4
24,5,1,2,6,5
25,5,0,2,7,5
26,4,1,1,7,6
27,4,1,1,7,6
28,3,2,1,7,6
29,2,3,1,5,8
30,2,3,1,5,8
31,2,2,2,3,10
32,2,1,2,2,12
33,2,1,2,2,12
34,2,1,2,2,12
35,2,1,2,2,12
36,2,0,2,3,12
37,2,0,1,3,13
38,2,0,1,3,13
39,2,0,1,2,14
40,2,0,0,2,15
41,2,0,0,2,15
42,2,0,0,2,15
43,2,0,0,0,17
44,2,0,0,0,17
