days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,14,4,0,1,0
3,12,6,0,1,0
4,10,6,1,2,0
5,9,6,2,2,0
6,4,10,2,3,0
7,3,10,2,4,0
8,2,8,3,5,1
9,2,6,4,6,1
10,1,4,5,8,1
11,1,4,5,7,2
12,1,3,5,8,2
13,0,3,5,9,2
14,0,3,4,9,3
15,0,2,3,10,4
16,0,2,2,8,7
17,0,1,3,7,8
18,0,0,3,5,11
19,0,0,3,5,11
20,0,0,3,5,11
21,0,0,3,5,11
22,0,0,3,4,12
23,0,0,3,3,13
24,0,0,3,3,13
25,0,0,2,1,16
26,0,0,2,1,16
27,0,0,2,1,16
28,0,0,2,1,16
29,0,0,0,0,19
30,0,0,0,0,19
31,0,0,0,0,19
32,0,0,0,0,19
33,0,0,0,0,19
34,0,0,0,0,19
