days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,16,2,0,1,0
2,16,2,0,1,0
3,14,4,0,1,0
4,11,6,0,2,0
5,9,8,0,2,0
6,7,8,0,4,0
7,5,8,1,5,0
8,4,8,1,5,1
9,4,8,1,5,1
10,3,7,2,6,1
11,3,4,3,7,2
12,3,3,3,8,2
13,2,2,4,9,2
14,2,2,4,9,2
15,2,2,3,9,3
16,2,2,3,7,5
17,2,1,4,7,5
18,1,2,3,6,7
19,1,1,4,6,7
20,1,1,4,5,8
21,1,1,3,2,12
22,1,1,3,2,12
23,1,1,3,1,13
24,1,1,2,0,15
25,1,1,2,0,15
26,1,1,1,0,16
27,1,0,1,0,17
28,1,0,1,0,17
29,1,0,1,0,17
30,1,0,1,0,17
31,1,0,1,0,17
32,1,0,1,0,17
33,1,0,1,0,17
34,1,0,1,0,17
