days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,17,1,0,1,0
3,17,1,0,1,0
4,17,1,0,1,0
5,16,2,0,1,0
6,15,2,0,2,0
7,13,4,0,2,0
8,13,3,0,2,1
9,12,4,0,2,1
10,11,5,0,2,1
11,10,6,0,2,1
12,7,9,0,2,1
13,6,7,1,4,1
14,6,7,1,2,3
15,5,5,1,5,3
16,4,5,1,6,3
17,4,5,1,6,3
18,4,3,2,7,3
19,3,4,2,7,3
20,2,3,2,9,3
21,2,3,2,9,3
22,2,2,3,9,3
23,2,2,2,8,5
24,2,1,3,6,7
25,2,1,3,6,7
26,2,0,3,5,9
27,2,0,3,5,9
28,2,0,3,4,10
29,2,0,2,3,12
30,2,0,2,2,13
31,2,0,2,2,13
32,2,0,2,2,13
33,2,0,2,2,13
34,2,0,2,2,13
35,2,0,2,1,14
36,2,0,1,1,15
37,2,0,1,0,16
38,2,0,0,0,17
39,2,0,0,0,17
40,2,0,0,0,17
41,2,0,0,0,17
42,2,0,0,0,17
43,2,0,0,0,17
44,2,0,0,0,17
