days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,18,0,0,1,0
2,18,0,0,1,0
3,18,0,0,1,0
4,17,1,0,1,0
5,17,1,0,1,0
6,16,2,0,1,0
7,15,2,0,2,0
8,15,2,0,1,1
9,15,2,0,1,1
10,15,2,0,1,1
11,14,2,1,1,1
12,13,3,1,1,1
13,12,3,1,2,1
14,12,2,1,3,1
15,12,2,1,3,1
16,12,1,1,4,1
17,11,2,1,3,2
18,9,4,1,3,2
19,8,4,1,4,2
20,7,4,1,5,2
21,7,4,0,5,3
22,7,3,1,5,3
23,7,3,1,4,4
24,7,2,1,3,6
25,7,1,1,4,6
26,7,1,1,4,6
27,7,1,1,4,6
28,7,1,1,3,7
29,7,1,1,3,7
30,7,1,1,2,8
31,7,0,2,2,8
32,7,0,2,2,8
33,7,0,2,2,8
34,7,0,1,1,10
35,7,0,1,1,10
36,7,0,1,0,11
37,7,0,1,0,11
38,7,0,1,0,11
39,7,0,1,0,11
40,7,0,1,0,11
41,7,0,0,0,12
42,7,0,0,0,12
43,7,0,0,0,12
44,7,0,0,0,12
