days,uninfectedCount,incubationCount,asymptomaticCount,symptomaticCount,immuneCount
1,17,1,0,1,0
2,17,1,0,1,0
3,17,1,0,1,0
4,15,3,0,1,0
5,15,3,0,1,0
6,15,3,0,1,0
7,10,7,0,2,0
8,9,7,0,2,1
9,8,7,0,3,1
10,6,7,1,4,1
11,4,9,1,4,1
12,3,6,3,6,1
13,3,6,3,6,1
14,3,5,3,7,1
15,3,5,3,5,3
16,3,3,2,7,4
17,3,2,3,7,4
18,3,2,3,7,4
19,3,1,3,7,5
20,3,0,1,8,7
21,3,0,1,7,8
22,2,1,1,7,8
23,1,2,1,7,8
24,1,2,1,6,9
25,1,2,1,5,10
26,1,2,1,5,10
27,1,2,1,4,11
28,1,2,0,2,14
29,1,1,1,1,15
30,1,1,1,1,15
31,1,0,2,1,15
32,1,0,2,0,16
33,1,0,2,0,16
34,1,0,2,0,16
